,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_max_drawdown,benchmark_annualized_return,benchmark_annualized_volatility,benchmark_sharpe_ratio,benchmark_sortino_ratio,benchmark_max_drawdown,rsi_window,stock_combination
537,0.04516993448370887,0.14299512171923498,0.17601953256229957,0.17636745141955035,0.21123486583741832,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('AVGO', 'TSLA', 'META', 'GOOGL', 'GOOG', 'AAPL', 'NVDA')"
195,0.05006070439264021,0.17116209826303697,0.17562710844105092,0.17967926163229203,0.2634190244382908,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
579,0.04474385422166649,0.1428552431664044,0.17320928286015866,0.17255179001364926,0.22500349116892818,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('AVGO', 'TSLA', 'META', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
393,0.04797132569682838,0.1624561436118657,0.17217770331700386,0.176575094833374,0.24064737109895,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'META', 'GOOGL', 'MSFT', 'AAPL', 'NVDA')"
448,0.054392008056926455,0.20010284361829164,0.17187166076725677,0.1714146994747128,0.34460328974005416,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'GOOGL', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
298,0.04703620989661417,0.1591008292215087,0.16993129469471782,0.1718642039116091,0.31289795993854985,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'META', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
423,0.04755202993507135,0.1637449545043307,0.16826185587503192,0.17202558246267394,0.2583690271984482,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'META', 'AMZN', 'MSFT', 'AAPL', 'NVDA')"
417,0.04719823673212842,0.16284456875003084,0.16701961226522802,0.17125420429011978,0.2421055994686659,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'META', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
177,0.04781960786924033,0.1672654220856037,0.16632013671661747,0.17144753623305845,0.2548029466405485,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'GOOGL', 'MSFT', 'AAPL', 'NVDA')"
544,0.046600337172572726,0.16337387864955244,0.16281878959140203,0.16400659130365625,0.33354314066154234,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'GOOGL', 'AMZN', 'MSFT', 'AAPL')"
